scorer,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160
18,33.460938,414.4082,0.7675781,6.4296875,398.5664,0.6176758,7.1992188,429.33594,0.25146484,-0.9609375,412.5952,0.038879395,38.5,463.26562,0.02470398,33.089844,456.08594,0.069885254,25.416016,443.0298,0.08093262,78.52539,472.01172,0.050323486,13.489258,395.1875,0.047576904,57.29297,444.33594,0.07043457,49.15625,471.10156,0.0725708,79.4668,478.8086,0.081604004,76.00261,474.96973,0.2055664,65.48242,489.07422,0.42651367,38.53711,518.5488,0.41552734
19,38.441406,414.29102,0.8828125,6.4296875,398.0547,0.81103516,7.1992188,430.03906,0.3786621,-1.0039062,411.79065,0.06414795,38.1875,463.26562,0.041778564,35.427246,457.51953,0.07220459,26.648438,443.0298,0.09265137,88.93164,472.01172,0.030761719,13.489258,394.77344,0.057373047,57.29297,448.9961,0.051971436,48.640625,471.10156,0.0602417,79.927734,480.58594,0.0501709,81.171875,488.375,0.11584473,65.48242,491.31592,0.52441406,40.257812,518.96484,0.70751953
20,43.160156,413.8164,0.87890625,10.222656,397.333,0.9301758,7.1992188,430.03906,0.40698242,-1.0039062,411.79065,0.10217285,38.5,472.58008,0.052856445,35.427246,464.51172,0.12365723,40.603516,443.0298,0.07501221,88.93164,470.58594,0.04498291,13.489258,394.33594,0.05606079,60.952637,467.81018,0.049743652,48.640625,471.10156,0.047729492,82.916016,480.58594,0.046447754,81.171875,489.37695,0.13024902,65.48242,503.35938,0.51660156,45.11035,520.2715,0.61279297
21,49.865234,412.3684,0.9321289,16.40039,396.65967,0.8183594,14.003906,430.03906,0.63916016,-0.9609375,411.25195,0.25268555,38.5,472.58008,0.04776001,35.427246,457.51953,0.20227051,40.603516,443.0298,0.08300781,28.855957,470.58594,0.050079346,13.750977,394.33594,0.043151855,56.5,495.05273,0.046325684,48.640625,405.292,0.05041504,82.916016,480.58594,0.036987305,81.171875,489.37695,0.11682129,65.48242,503.35938,0.43823242,45.11035,520.2715,0.2763672
22,55.572266,411.43945,0.89941406,21.164062,396.43994,0.9355469,20.623047,430.03906,0.6748047,-0.859375,411.0791,0.31323242,38.5,477.75,0.04837036,34.19043,456.08594,0.10522461,40.603516,443.0298,0.073913574,88.93164,479.66406,0.0435791,19.820312,394.1797,0.044189453,60.952637,495.05273,0.044067383,48.640625,405.292,0.04647827,82.916016,478.57812,0.04812622,81.171875,488.375,0.051086426,75.058105,503.35938,0.21765137,49.046875,520.2715,0.08465576
23,63.064453,409.0078,0.86328125,28.540527,395.81458,0.8857422,30.28125,428.4546,0.65625,4.078125,411.438,0.42089844,38.1875,485.58496,0.039398193,34.19043,464.51172,0.091430664,26.541992,497.86523,0.08087158,13.3515625,488.67578,0.053894043,23.042969,394.33594,0.038391113,69.086914,495.05273,0.049316406,51.927063,405.292,0.048217773,79.26758,465.73828,0.050048828,82.08789,486.70703,0.101135254,77.881836,493.20605,0.13916016,64.23242,509.3047,0.29418945
24,67.83252,408.5,0.8876953,35.34912,395.78735,0.9135742,37.63965,426.9131,0.7416992,6.6445312,411.438,0.81103516,27.335938,485.58496,0.040008545,34.19043,472.91602,0.06970215,26.541992,497.86523,0.12310791,13.3515625,437.35938,0.07409668,29.53711,476.87598,0.033721924,69.086914,480.0078,0.107666016,54.98633,437.76172,0.06762695,79.26758,465.73828,0.0703125,78.08984,486.70703,0.107055664,77.881836,493.20605,0.5253906,64.23242,509.3047,0.24389648
25,74.72754,407.6543,0.83691406,41.85547,395.20264,0.7841797,46.05078,426.5664,0.8027344,14.033203,411.438,0.88671875,26.816406,467.34814,0.059173584,39.15625,489.20898,0.15222168,26.541992,497.86523,0.33544922,20.093933,508.90723,0.06518555,44.847656,476.87598,0.03491211,64.25,480.0078,0.09539795,65.625,438.96094,0.058807373,77.646484,478.57812,0.041412354,78.08984,486.70703,0.08673096,30.75,493.20605,0.49682617,25.884766,509.3047,0.25927734
26,82.674805,407.60547,0.9511719,49.91797,395.17627,0.8022461,51.399414,426.458,0.8046875,19.533447,412.42554,0.86083984,26.816406,485.58496,0.059173584,39.15625,490.04688,0.14318848,30.039062,491.84814,0.06915283,35.643555,508.90723,0.019241333,53.71289,476.87598,0.043762207,64.25,479.83203,0.06726074,65.625,478.8457,0.08538818,60.17102,478.57812,0.04159546,73.76367,486.70703,0.06976318,30.75,473.92773,0.31591797,25.884766,481.9297,0.42382812
27,90.41504,407.60547,0.9345703,55.796875,393.68555,0.7734375,59.101562,425.92188,0.88378906,23.523438,412.42554,0.87158203,27.335938,486.7129,0.06896973,40.628906,490.42578,0.28588867,31.492188,491.84814,0.07281494,35.643555,513.22266,0.026626587,62.865234,492.812,0.029724121,20.895996,479.83203,0.057373047,65.625,494.0,0.07354736,53.44043,493.25488,0.064819336,60.25122,486.70703,0.08062744,29.362305,475.86487,0.27514648,21.958984,492.05078,0.31713867
