scorer,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120
bodyparts,Eye,Eye,Eye,SnoutTip,SnoutTip,SnoutTip,TailBase,TailBase,TailBase,ProxTail1,ProxTail1,ProxTail1,ProxTail2,ProxTail2,ProxTail2,ProxTail3,ProxTail3,ProxTail3,MidTail,MidTail,MidTail,DistTail1,DistTail1,DistTail1,DistTail2,DistTail2,DistTail2,DistTail3,DistTail3,DistTail3,TailTip,TailTip,TailTip,Ankle,Ankle,Ankle,MTP,MTP,MTP
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
18,4.8710938,342.61328,0.5073242,41.75586,336.86523,0.9453125,9.1953125,345.75195,0.012275696,1245.2686,368.57812,0.019058228,59.401855,361.01562,0.019256592,16.513672,334.10938,0.017852783,15.761719,338.125,0.017150879,51.25537,364.29102,0.0077552795,21.725586,363.93427,0.021255493,31.519531,392.06055,0.01550293,62.125,344.22656,0.035888672,9.378906,391.78516,0.028717041,10.436523,390.8672,0.028213501
19,7.875,342.61328,0.74560547,47.914062,336.52344,0.93847656,9.1953125,368.4453,0.016464233,12.9375,364.15063,0.023223877,14.119141,361.01562,0.02104187,16.884766,334.10938,0.028152466,15.761719,348.1787,0.019119263,35.549316,364.29102,0.007446289,21.725586,363.1162,0.028121948,31.519531,377.1543,0.024795532,64.11914,347.46875,0.028656006,3.2265625,392.05078,0.040100098,7.8710938,390.8672,0.07775879
20,12.913574,342.3672,0.8881836,52.04602,335.1543,1.0,9.1953125,370.53906,0.011810303,10.6796875,364.15063,0.0231781,14.119141,361.01562,0.026184082,16.884766,334.10938,0.023071289,15.761719,348.1787,0.017700195,26.516602,361.79297,0.010437012,51.53076,363.1162,0.016296387,43.62793,360.58594,0.023925781,64.11914,344.8672,0.025466919,3.2265625,392.33594,0.04159546,7.8710938,390.8672,0.11602783
21,18.407227,342.07422,0.88134766,56.908203,334.64453,0.9111328,9.353516,386.8203,0.017974854,10.6796875,368.57812,0.03012085,11.843628,362.8125,0.026275635,48.73633,351.1211,0.0184021,1.7402344,348.48877,0.027160645,26.516602,361.38672,0.017059326,37.55957,344.8789,0.017608643,18.019531,377.1543,0.021972656,64.0,344.22656,0.031158447,3.1679688,392.33594,0.047546387,7.8710938,390.8672,0.09881592
22,24.910156,341.9619,0.92285156,63.316406,334.2578,0.9716797,15.003906,387.32812,0.01763916,12.9375,364.08673,0.020401001,10.732422,361.01562,0.018493652,66.87793,351.1211,0.02029419,2.1513672,353.6875,0.018249512,26.516602,360.45117,0.014480591,62.966797,362.68848,0.024337769,30.933594,377.1543,0.016967773,78.31641,334.01953,0.028533936,3.1679688,394.92578,0.032470703,13.207031,392.79102,0.022323608
23,30.833984,341.0293,0.88964844,68.711914,333.56543,1.0,7.7070312,387.32812,0.021072388,25.783203,364.08673,0.022521973,10.732422,358.83594,0.025222778,68.30859,351.98828,0.022949219,4.6591797,348.48877,0.0109939575,61.859375,340.2578,0.009140015,62.966797,361.60742,0.016784668,32.882812,391.3203,0.026351929,79.26953,334.01953,0.023727417,6.3671875,394.92578,0.053375244,25.021484,393.7578,0.031829834
24,37.02246,340.01364,0.8828125,75.70996,332.3274,0.9682617,7.3984375,387.32812,0.028045654,40.38672,364.08673,0.016082764,13.255859,358.83594,0.02444458,68.30859,351.98828,0.01763916,3.9519958,353.6875,0.017242432,61.859375,340.2578,0.011238098,78.291016,362.68848,0.020736694,32.882812,391.3203,0.023864746,79.26953,334.01953,0.029373169,13.25,394.92578,0.031097412,31.017578,395.76135,0.0368042
25,43.97386,338.96777,0.8178711,82.771484,331.59204,1.0,18.876953,347.5703,0.04055786,40.38672,371.41406,0.017471313,13.255859,375.80078,0.025390625,66.87793,353.04688,0.01890564,3.5683594,378.45703,0.017364502,87.80859,340.2578,0.0126571655,78.552734,362.1875,0.018341064,32.882812,391.3203,0.029373169,92.33594,334.01953,0.022583008,14.2578125,394.92578,0.03692627,31.017578,395.76135,0.046173096
26,49.89258,338.15137,0.70996094,88.55859,329.82422,0.8798828,18.876953,347.09375,0.101867676,40.38672,364.08673,0.01625061,22.480469,381.6289,0.03274536,20.30249,373.24414,0.020751953,3.9519958,388.6001,0.03010559,93.86719,339.83984,0.017471313,93.80176,362.1875,0.020141602,60.663086,357.64062,0.018188477,109.515625,334.91406,0.0259552,14.2578125,393.1797,0.034973145,31.017578,393.02344,0.021896362
27,59.208496,337.5586,0.7246094,96.759766,329.13086,1.0,18.876953,346.6914,0.05883789,40.38672,364.10986,0.021957397,30.123047,381.6289,0.05114746,20.30249,373.24414,0.058685303,4.6591797,388.6001,0.04220581,93.86719,345.27344,0.012283325,94.02344,361.60742,0.022140503,73.51758,357.28516,0.014953613,112.103516,347.16406,0.024719238,14.2578125,392.48828,0.027755737,31.017578,393.02344,0.027297974
